name, url, categories
'dlib', 'https://github.com/davisking/dlib', ['Deep Learning / ML / AI']
'DockerSlim', 'https://github.com/docker-slim/docker-slim', ['Container Runtime']
'Dolt', 'https://github.com/dolthub/dolt', ['Database']
'Doxygen', 'https://github.com/doxygen/doxygen', ['Documentation Generator']
'Drone', 'https://github.com/harness/drone', ['Continuous Delivery']
'Drupal', 'https://github.com/drupal/drupal', ['Content Management System (CMS)']
'Dungeon Crawl', 'https://github.com/crawl/crawl', ['Game']
'Dunk', 'https://github.com/darrenburns/dunk', ['Code Formatter']
'DVC', 'https://github.com/iterative/dvc', ['Data Version Control']
'Earthy', 'https://github.com/earthly/earthly', ['Continuous Delivery']
'EdgeDB', 'https://github.com/edgedb/edgedb', ['Database']
'EHRbase', 'https://github.com/ehrbase/ehrbase', ['Healthcare']
'Elasticsearch', 'https://github.com/elastic/elasticsearch', ['Search Engine']
'Electron', 'https://github.com/electron/electron', ['App Dev']
'Emacs', 'https://github.com/emacs-mirror/emacs', ['Code Editor']
'EMQ X Broker', 'https://github.com/emqx/emqx', ['Messaging']
'Envoy', 'https://github.com/envoyproxy/envoy', ['Service Proxy']
'erxes', 'https://github.com/erxes/erxes', ['Growth Marketing']
'etcd', 'https://github.com/etcd-io/etcd', ['Service Coordination']
'Eureka', 'https://github.com/Netflix/eureka', ['Service Proxy']
'Falcon+', 'https://github.com/open-falcon/falcon-plus', ['System Monitoring']
'FastAPI', 'https://github.com/tiangolo/fastapi', ['API Dev Framework']
'Fathom', 'https://github.com/usefathom/fathom', ['Web Analytics']
'Faust', 'https://github.com/faust-streaming/faust', ['Stream Processing', 'Python Library']
'feature-voting', 'https://github.com/thinkprojectgroup/feature-voting', ['Collaboration']
'Felvin', 'https://github.com/felvin-search/instant-apps', ['App Dev']
'FFmpeg', 'https://github.com/FFmpeg/FFmpeg', ['Multimedia Processing']
'FiftyOne', 'https://github.com/voxel51/fiftyone', ['Deep Learning / ML / AI']
'Fig', 'https://github.com/withfig/autocomplete', ['Terminal']
'FingerprintJS', 'https://github.com/fingerprintjs/fingerprintjs', ['Javascript Library']
'Firecracker', 'https://github.com/firecracker-microvm/firecracker', ['Container Runtime']
'Firezone', 'https://github.com/firezone/firezone', ['VPN']
'flannel', 'https://github.com/flannel-io/flannel', ['Networking']
'Flask App Builder', 'https://github.com/dpgaspar/Flask-AppBuilder', ['App Dev']
'Flask', 'https://github.com/pallets/flask', ['App Dev']
'flatpikr', 'https://github.com/flatpickr/flatpickr', ['Javascript Datetime Picker']
'Fleet', 'https://github.com/fleetdm/fleet', ['Device Management']
'FlowForge', 'https://github.com/flowforge/flowforge', ['App Dev']
'Fluentd', 'https://github.com/fluent/fluentd', ['Logging']
'Flutter', 'https://github.com/flutter/flutter', ['App Dev']
'Flyte', 'https://github.com/flyteorg/flyte', ['Batch Processing']
'Focalboard', 'https://github.com/mattermost/focalboard', ['Productivity']
'Font Awesome', 'https://github.com/FortAwesome/Font-Awesome', ['Icon Toolkit']
'Forem', 'https://github.com/forem/forem', ['Collaboration']
'FoundationDB', 'https://github.com/apple/foundationdb', ['Database']
'Free Programming Books', 'https://github.com/EbookFoundation/free-programming-books', ['Learn to Code']
'Freeciv', 'https://github.com/freeciv/freeciv', ['Game']
'FreeCodeCamp', 'https://github.com/freeCodeCamp/freeCodeCamp', ['Learn to Code']
